Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
53,228,2,106,53,53,53.0,0.0,85,85,85.0,0.0,1210526.316,17543.85965,76.0,47.63402146,131,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,64,64,8771.929825,8771.929825,53,85,65.8,17.52712184,307.2,0,0,0,82.25,106,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
57536,24,1,6,6,6,6.0,0.0,6,6,6.0,0.0,500000.0,83333.33333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,41666.66667,41666.66667,6,6,6.0,0.0,0.0,0,0,1,9.0,6,288,253,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,115335711,23,1230,843,0,53.47826087,179.6096448,2370,0,297.0526316,675.9970803,59.59992738,0.364154342,2813066.122,4470803.465,10000000,1,115000000,5242532.318,5009698.489,10100000,1,111000000,6148822.0,5030535.285,10100000,4,744,616,0.199417854,0.164736488,0,2370,159.8604651,477.5600477,228063.5991,0,1,0,163.6666667,1230,29200,370,4,32,49926.36364,180972,36592,10000000.0,10000000,9998881,Normal Traffic
137,2999195,3,150,50,50,50.0,0.0,0,0,0.0,0.0,50.01342027,1.000268405,1499597.5,688.0148981,1500084,1499111,2999195,1499597.5,688.0148981,1500084,1499111,0,0.0,0.0,0,0,84,0,1.000268405,0.0,50,50,50.0,0.0,0.0,0,0,0,66.66666667,150,-1,-1,2,20,0.0,0,0,0.0,0,0,Normal Traffic
53,157,2,94,47,47,47.0,0.0,98,98,98.0,0.0,1847133.75796178,25477.7070063694,52.3333333333,87.1856257266,153,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,40,40,12738.8535031847,12738.8535031847,47,98,67.4,27.9338504328,780.3,0,0,0,84.25,94,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,212,2,84,42,42,42.0,0.0,102,102,102.0,0.0,1358490.566,18867.92453,70.66666667,38.3970485,115,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,40,40,9433.962264,9433.962264,42,102,66.0,32.86335345,1080.0,0,0,0,82.5,84,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,23757,2,76,38,38,38.0,0.0,54,54,54.0,0.0,7745.085659,168.3714274,7919.0,13632.97191,23661,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,64,64,84.18571368,84.18571368,38,54,44.4,8.76356092,76.8,0,0,0,55.5,76,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,7985802,5,30,6,6,6.0,0.0,0,0,0.0,0.0,3.756667145,0.626111191,1996450.5,3987581.439,7977820,1,7985802,1996450.5,3987581.439,7977820,1,0,0.0,0.0,0,0,100,0,0.626111191,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,7982.0,7982,7982,7977820.0,7977820,7977820,DDoS
9009,38,1,0,0,0,0.0,0.0,6,6,6.0,0.0,157894.7368,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,26315.78947,26315.78947,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
80,106653916,4,529,520,0,132.25,258.5348139,0,0,0.0,0.0,4.959967902,0.065632846,17800000.0,43500000.0,107000000,76,107000000,35600000.0,61600000.0,107000000,624,107000000,53300000.0,75400000.0,107000000,5292,136,104,0.037504483,0.028128362,0,520,66.125,183.4202337,33642.98214,0,1,0,75.57142857,529,29200,235,2,32,5398.0,5398,5398,107000000.0,107000000,107000000,DoS
80,84903058,7,660,321,0,94.28571429,154.8985843,4344,0,1656.428571,1760.597234,144.3410908,0.164893943,6531004.462,23400000.0,84500000,2,84800000,14100000.0,34500000.0,84500000,2,84900000,14200000.0,34500000.0,84600000,15,196,232,0.082446971,0.082446971,0,4344,817.4,1413.925377,1999184.971,1,0,0,875.7857143,660,0,235,4,20,5980.0,5980,5980,84500000.0,84500000,84500000,DoS
53,23451,1,55,55,55,55.0,0.0,119,119,119.0,0.0,7419.7262376871,85.2842096286,23451.0,0.0,23451,23451,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,42.6421048143,42.6421048143,55,119,76.3333333333,36.9504172281,1365.3333333333,0,0,0,114.5,55,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,147134,1,56,56,56,56.0,0.0,169,169,169.0,0.0,1529.218264,13.59305123,147134.0,0.0,147134,147134,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,6.796525616,6.796525616,56,169,93.66666667,65.24058042,4256.333333,0,0,0,140.5,56,-1,-1,0,40,0.0,0,0,0.0,0,0,Normal Traffic
53,48167,1,53,53,53,53.0,0.0,69,69,69.0,0.0,2532.854444,41.522204,48167.0,0.0,48167,48167,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,20.761102,20.761102,53,69,58.33333333,9.237604307,85.33333333,0,0,0,87.5,53,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,184,2,80,40,40,40.0,0.0,56,56,56.0,0.0,1043478.261,21739.13043,61.33333333,23.96525262,89,47,48,48.0,0.0,48,48,47,47.0,0.0,47,47,40,40,10869.56522,10869.56522,40,56,46.4,8.76356092,76.8,0,0,0,58.0,80,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,24100,1,67,67,67,67.0,0.0,219,219,219.0,0.0,11867.21992,82.98755187,24100.0,0.0,24100,24100,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,41.49377593,41.49377593,67,219,117.6666667,87.75724092,7701.333333,0,0,0,176.5,67,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,87905,4,116,29,29,29.0,0.0,61,61,61.0,0.0,2707.46829,68.2555031,17581.0,24346.95989,49291,3,38611,12870.33333,22248.78085,38561,3,3,3.0,0.0,3,3,80,40,45.50366873,22.75183437,29,61,38.14285714,15.61440117,243.8095238,0,0,0,44.5,116,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
53,122823,2,96,48,48,48.0,0.0,64,64,64.0,0.0,1823.7626503179,32.5671901842,40941.0,70867.7283888795,122772,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,64,64,16.2835950921,16.2835950921,48,64,54.4,8.7635609201,76.8,0,0,0,68.0,96,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
123,36545,1,48,48,48,48.0,0.0,48,48,48.0,0.0,2626.898345,54.72704884,36545.0,0.0,36545,36545,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,27.36352442,27.36352442,48,48,48.0,0.0,0.0,0,0,0,72.0,48,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,98294779,6,349,349,0,58.16666667,142.4786534,5792,0,1932.5,2181.008184,121.512049,0.122081764,8935889.0,29600000.0,98300000,5,98300000,19700000.0,43900000.0,98300000,5,18488,3697.6,4968.955655,9969,45,200,200,0.061040882,0.061040882,0,5792,918.7692308,1716.084261,2944945.192,0,0,1,995.3333333,349,274,235,1,32,976.0,976,976,98300000.0,98300000,98300000,DoS
80,631060,3,26,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,18424.55551,14.26171838,78882.5,220736.5825,625160,15,5417,2708.5,3578.66742,5239,178,631005,126201.0,278936.0257,625160,15,72,132,4.753906126,9.507812252,0,4380,1162.7,1645.241762,2706820.456,0,1,0,1291.888889,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
443,116037620,33,855,470,0,25.90909091,90.60296754,2920,0,1066.027027,950.1278711,347.283924,0.603252635,1681704.638,3693254.525,10000000,0,116000000,3626175.625,4818114.784,10100000,2,111000000,3091297.722,4707200.841,10100000,48,672,884,0.284390528,0.318862107,0,2920,567.5774648,861.5488654,742266.4475,0,1,0,575.6857143,855,8192,114,15,20,113383.4545,400028,84540,10000000.0,10000000,10000000,Normal Traffic
53,212,2,60,30,30,30.0,0.0,132,132,132.0,0.0,1528301.88679245,18867.9245283019,70.6666666667,80.7114200924,160,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,40,40,9433.962264151,9433.962264151,30,132,70.8,55.8677008655,3121.2,0,0,0,88.5,60,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,197,2,72,36,36,36.0,0.0,68,68,68.0,0.0,1055837.563,20304.56853,65.66666667,29.73774257,100,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,40,64,10152.28426,10152.28426,36,68,48.8,17.52712184,307.2,0,0,0,61.0,72,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
58787,47,2,31,31,0,15.5,21.92031022,0,0,0.0,0.0,659574.4681,42553.19149,47.0,0.0,47,47,47,47.0,0.0,47,47,0,0.0,0.0,0,0,40,0,42553.19149,0.0,0,31,20.66666667,17.89785834,320.3333333,0,0,1,31.0,31,110,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,46049166,8,993,993,0,124.125,351.0785169,387,0,48.375,136.8251622,29.96796945,0.347454718,3069944.4,4583668.905,10000000,37,40100000,5732009.0,5346249.234,10000000,7032,46000000,6576256.286,4725563.601,10000000,12196,180,172,0.173727359,0.173727359,0,993,81.17647059,252.9568232,63987.15441,0,1,0,86.25,993,29200,31,1,20,23807.25,49949,15025,10000000.0,10000000,9998118,Normal Traffic
53,173,2,76,38,38,38.0,0.0,90,90,90.0,0.0,1479768.786,23121.38728,57.66666667,92.95339334,165,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,40,40,11560.69364,11560.69364,38,90,58.8,28.48157299,811.2,0,0,0,73.5,76,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
40170,55,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36363.6363636364,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,18181.8181818182,18181.8181818182,0,0,0.0,0.0,0.0,0,0,1,0.0,0,397,411,0,32,0.0,0,0,0.0,0,0,Normal Traffic
34617,77,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,1,0.0,0,123,299,0,32,0.0,0,0,0.0,0,0,Normal Traffic
